Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
08-665,2,Kennedy,SIN CERTIFICAR,Vecinal,URBANIZACIÓN RIBERAS DE OCCIDENTE,8,"-74,16919867728046","4,647596847163156"
08-572,3,Kennedy,CERTIFICADO,Vecinal,BOSQUES DE KENNEDY,8,"-74,15590616992657","4,621867873592649"
08-578,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN PRADOS DE KENNEDY,8,"-74,15709127371262","4,620617914443961"
14-066,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN VERAGUAS,14,"-74,09823688439309","4,603044534384174"
08-636,3,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY SUPERMANZANA 1,8,"-74,14162953931432","4,620022389609479"
02-223,4,Chapinero,SIN CERTIFICAR,Bolsillo,AVANTIS,2,"-74,05995005546826","4,6387914398895065"
13-181,4,Teusaquillo,SIN CERTIFICAR,Vecinal,ZONA VERDE 2 URB EL TRIUNFO,13,"-74,10728619321421","4,6426210455528985"
03-039,3,Santa Fe,INVESTIGADO NO CERTIFICADO,Metropolitano Existente,INDEPENDENCIA,3,"-74,06869342864636","4,610982723069535"
03-037,3,Santa Fe,CERTIFICADO,Vecinal,SANTANDER,3,"-74,07260210444876","4,601959419000677"
03-060,3,Santa Fe,INVESTIGADO NO CERTIFICADO,Vecinal,LOS ANDES LAS AGUAS,3,"-74,06949156066588","4,601299575754655"
08-647,3,Kennedy,CERTIFICADO,Bolsillo,BAVARIA TECHO II SECTOR (TERMINACIÓN),8,"-74,13884708048529","4,642195494173494"
14-006,3,Martires,CERTIFICADO,Vecinal,ESPAÑA,14,"-74,0856871243282","4,604399256448792"
16-193,3,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ I ETAPA,16,"-74,1323002215767","4,598291193027855"
08-814,2,Kennedy,SIN CERTIFICAR,Vecinal,URBANIZACIÓN RIBERAS DE OCCIDENTE,8,"-74,17114294641479","4,646739602173785"
13-188,4,Teusaquillo,SIN CERTIFICAR,Vecinal,EL TRIUNFO,13,"-74,10764434478064","4,644639988009487"
13-063,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LAS AMÉRICAS LOS ARRAYANES,13,"-74,08051130924053","4,627244743445591"
02-162,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO EL PARAÍSO,2,"-74,05698985552797","4,625647964721107"
08-649,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN RIBERAS DE OCCIDENTE,8,"-74,16771819664922","4,645951972493256"
08-475,2,Kennedy,CERTIFICADO,Vecinal,RIVERAS DE OCCIDENTE -UNIR II ZV 4 Y 8,8,"-74,16678735157201","4,644568088218794"
09-194,3,Fontibon,CERTIFICADO,Vecinal,INDUSTRIAL SANTA MARÍA,9,"-74,11279366540649","4,645783632689735"
13-002,4,Teusaquillo,CERTIFICADO,Vecinal,SAN LUIS 2,13,"-74,07356639919385","4,647522445465473"
13-006,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESMERALDA (ANTES LOS URAPANES),13,"-74,08992919008537","4,646311050255493"
08-219,3,Kennedy,CERTIFICADO,Metropolitano Existente,TIMIZA,8,"-74,15452763235955","4,609339462631079"
08-386,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN BANDERAS,8,"-74,15073688559102","4,629648834030183"
16-002,3,Puente Aranda,CERTIFICADO,Vecinal,VILLA SONIA,16,"-74,12708783652296","4,595351703908352"
16-004,3,Puente Aranda,CERTIFICADO,Vecinal,INDUSTRIAL PUENTE ARANDA,16,"-74,10704868179721","4,6238971818025565"
16-005,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LAS VIOLETAS,16,"-74,10489387855213","4,602131849342959"
08-658,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD TECHO II,8,"-74,15353252944263","4,6382482089118255"
08-655,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD TECHO II,8,"-74,149180659015","4,6376174444457"
19-483,2,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESTANCIA,19,"-74,17158884317237","4,595351116114067"
16-049,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL OCCIDENTAL,16,"-74,10479902364466","4,600761926592075"
08-660,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN CASABLANCA SEGUNDO SECTOR,8,"-74,16714786121605","4,618316769895461"
03-018,2,Santa Fe,INVESTIGADO NO CERTIFICADO,Vecinal,LA PERSEVERANCIA,3,"-74,0615393975389","4,616766920790777"
03-019,2,Santa Fe,INVESTIGADO NO CERTIFICADO,Vecinal,PRINCIPAL - PERSEVERANCIA,3,"-74,06453152450271","4,6172587241638965"
03-166,4,Santa Fe,CERTIFICADO,Vecinal,LA MACARENA,3,"-74,0638372772559","4,615192568725601"
13-156,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN CENTRO ADMINISTRATIVO NACIONAL CAN,13,"-74,09738595838431","4,645555371376975"
13-157,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN CENTRO ADMINISTRATIVO NACIONAL CAN,13,"-74,09445901452499","4,640825689762087"
13-158,4,Teusaquillo,CERTIFICADO,Vecinal,CIUDAD SALITRE SPMZ III EMBAJADA EE.UU.,13,"-74,09564319124965","4,63787795825754"
14-069,3,Martires,CERTIFICADO,Vecinal,CIUDADELA RESIDENCIAL SAN FACÓN,14,"-74,08208490923414","4,6135932296375115"
14-070,2,Martires,CERTIFICADO,Bolsillo,ESTACIÓN DE LA SABANA,14,"-74,08643900928027","4,607301927752823"
14-012,3,Martires,CERTIFICADO,Vecinal,BARRIO SANTA FE,14,"-74,07774868656045","4,612925803864966"
13-011,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LAS AMÉRICAS Y LOS ARRAYANES,13,"-74,07915386366722","4,62742347654102"
13-012,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN BELALCAZAR,13,"-74,07708800486424","4,63825706687768"
